Project Name,Artist Name,Additional Artists,Project Type,Abridged Project Text,Location (Internal),Schedule,Duration,Status,GPS Coordinates/Link (from Location NEW),Year or Permanent,R2,Latitude,Longitude
Only players left alive ,Antalina Fed,,Facilitated Experience,"This is a post-apocalyptic social simulation. Playground where visitors receive new identities and enter temporary social roles. Through immersive interactions, rituals, and exchanges, participants experiment with identity, explore connection, choice, and survival.",Atlantis Inn Collective,,2:30,Confirmed,,Temporary 2026,BBI,,
Salton Sea Stellar Sky Society: Star Sight Site,Sarah K Larsen,"Gregg Fleishman, Jamie Dunphy, Brent Pearson & Sarah Larsen",Installation/Immersive Environment ,"The Salton Sea Stellar Sky Society’s Star Sight Site: a shared sculptural sanctuary supplying stargazing, star-seeking, skyward study, and speculative celestial storytelling for the Bombay Beach community. Styled and supported by The 9-foot Comeback Cube by Gregg Fleishman.",Bombay North,3/27/2026 7:30pm,4:00,Confirmed,,Permanent,BBI,,
GHOST LAYERS,"Tarcila Neves,Tarcila de Figueiredo Neves","Bombay Beach Community, Martians, Biennale Audience ",Installation/Immersive Environment ,"Curated by Tarcila Neves, Ghost Layers is a permanent AR archive bridging Bombay Beach residents, Martian speculative artists, and the audience. Solar beacons reveal local histories through inclusive AR and music by the Bombay Beach Choir, creating a gamified legacy of presence and accessibility.",The Electric Lounge,,,Confirmed,,Permanent,BBI,,
The Social Equilibrium Calibration Unit,Damon James Duke,,Object ,Time is running. ,The Beach ,3/27/2026 6:30pm,7:10,Confirmed,,Permanent,BBI,,
The World’s Tallest Ghosts Reassessed ,RJ Okay,,Object ,Bombay Beach is famous for being home to at least 33 of the World’s Tallest Ghosts. Or has it? Claims have been made that our ghosts may be undeserving of the title. We must maintain integrity. ,Zig Zag Plaza,,,Confirmed,,Permanent,BBI,,
Reincarnation Station,Suzanne Karpinski,"Theatre Uzume, Suzanne Karpinski",Performance,"Welcome, wayward soul! Our condolences on your recent death. Judgement is upon you, as it is for us all. What will you take with you into your next life and what will you leave behind? The Reincarnation Station is interactive theater for 1-2 participants at a time that asks this important question.",No Shoes + Dry West — Moonscapes,,0:10,Contacted,https://maps.app.goo.gl/k1PNCbR5x6UJxbye9?g_st=ic,,,33.3491097,-115.7268356
WOLFBERG: Dancing in the Dust  ,Warren Flesch,,Music,"An outdoor performance combining live music, choreographed dancers, a large LED screen, and light-based interventions. Set within environmental and structural decay, the work explores spiritual persistence and human resilience—not through escape, but through the act of remaining.",,,1:00,Contacted,,,,,
Wildebeets (DJ set),Wildebeets,,DJ,"Earthy electronic, psychedelic bass, and epic beats.",,,,Contacted,,,,,
Kiamora,Kiamora,,DJ,"DJ performance wherever whenever is clever, sub club local slot would be rad. ",,,,Contacted,,,,,
The Colorado,Murat Eyuboglu,,Film,"The Colorado, narrated by the stage legend Marc Rylance, takes us on an epic journey through the prehistoric settlements of the region, the period of European exploration, the dam-building era, modern industrial agriculture and immigration, and the impact of climate change.",,,1:20,Contacted,,,,,
Harpazo,Anna O'Donnell & Jamie Munsey,Anna O'Donnell & Jamie Munsey,Film,"A surreal, seriocomic narrative short film about fear, judgement, the lust for death, and queer friendship at the end of the world. A tenacious and ultimately hopeful film debut shot in Bombay Beach under the Buck Moon of 2023, only growing more relevant with each tick of the doomsday clock.",,,0:20,Contacted,,,,,
L and the Angel Cat,Alva Caple,,Facilitated Experience,"Interactive canvas painting with neon paint that glows in the dark. The canvas features the opening scene of the book L and the Angel Cat, based on a true story about love, life, and spirit.
Come socialize, enjoy great music, and join painting — everyone is welcome!  Includes a children section.",Bombay North,,4:00,Contacted,,,,,
“Tilapia Tank”: A Startup Incubator Brought to You by Silicon Wasteland,Nicholas Burrell,,Facilitated Experience,An evening of improvised shenanigans lampooning the absurdity of startup and investment culture at the end of the world in a place of disinvestment,,3/28/2026 8:00pm,1:00,Contacted,,,,,
Sima & Sidu,Sima & Sidu,,DJ,Sima & Sidu are a DJ duo with a love for mixing South Asian rhythms and melodies into music from around the world! They are all about inspiring people to let loose and just be silly on the dance floor.,,,,Contacted,,,,,
How to Freestyle Rap,Rob Zaleski,,Facilitated Experience,Freestyle rap is rhythmic speech you discover in the moment to entertain or express yourself. A beginner friendly workshop focused on connecting to self and others. ,Beach: The Sub Club/The Underground,,1:30,Contacted,,,,,
Pickle That Up presents THE SACRAMENT OF THE HOLY BRINE,Rachel Fortner Weinstein,,Food/Beverage,"Pickle That Up brings THE SACRAMENT OF THE HOLY BRINE to all creatures great and small in Bombay Beach. 

Witness the miracle of fermentation! 
Visit our Altar of Acidity, receive the sacrament, and become one the faithful dill-sciples.
If the neon pickle is glowing—come and be preserved.",Mobile,,3:00,Contacted,,,,,
Salton Sea Synth,Scott (Seamus) Kildall,,Performance,"Salton Sea Synth is a browser-based synthesizer powered by real-time air quality sensors in Bombay Beach.

Data from air quality sensors control sound parameters, turning this desert ecology conditions into data-driven music that anyone at the Bi",Digital,,0:00,Contacted,,,,,
Mobile Off Grid Studio Suites,JSun,,Facilitated Experience,"Mobile Off Grid Studio Suites. Open house. Prepare to be inspired to the possibilities of living the life you have always dreamed of! Travelling full time, adventures, freedom, independence, simplicity, meaningful community and the time & energy to explore and live all of your delicious passions. ",Showtown,,23:50,Contacted,,,,,
Fancy Vandals,Carolyn Weiner aka fancyVANDALS,,DJ,,,,,Contacted,,,,,
Precision,Joel Arellano,,Lecture/Talk,"I'll present a reading from a larger work of near-future fiction, ""Precision"". The work is an eschatology of the West. Tension builds as societal collapse feels imminent, but a suspicious calm challenges our assumptions of Western values, and inspire curiosity in imagined alternatives.",No Shoes + Dry West — Moonscapes,,0:20,Contacted,https://maps.app.goo.gl/k1PNCbR5x6UJxbye9?g_st=ic,Temporary 2026,NO,33.3491097,-115.7268356
The Second To Last Judgment ,PROTORELIX ,,Venue,"A dedicated art space to collect, promote and incubate  the creative practice of local Bombay
Artists..",,3/27/2026 11:00am,23:50,Contacted,,,NO,,
Aerial silks performing arts and workshops,Jessica Lewis,,Facilitated Experience,"Aerial silks performing arts and workshops. Inspiring creativity, self expression, and fitness through aerial dance. ",,3/27/2027 11:00am,1:00,Contacted,,Temporary 2026,NO,,
The Titty Twister,"Hunter Morley,Hunter Morley ","Hunter Morley, Eric Massimo, Natalie Wagenka, Napoleon, David Amaya, Pedro Valiente, Greg Glesser, Chloe Moe ",Performance,"When The Sun begins to set and the shadows start to rise, the Titty twister comes alive! Step right up and come inside our house of debauchery , where freaks dance the night to the the beat pulsing through our bodies like the blood pouring into our glasses as we slip into the dawn.",,3/28/2026 6:30pm,9:00,Contacted,,Temporary 2026,NO,,
AI and the Apocalyptic Imagination,rina nicolae,,Lecture/Talk,"AI is our era's apocalyptic narrative. This talk traces how the eschatological frame operates as both a belief system and a power structure, concentrating authority in those who claim to understand the coming transformation. how can we engage with the change without submitting to this mythology?",No Shoes + Dry West — Moonscapes,,1:00,Contacted,https://maps.app.goo.gl/k1PNCbR5x6UJxbye9?g_st=ic,Temporary 2026,NO,33.3491097,-115.7268356
Tea lounge Ong Ong,"Marina Malyarenko,Marina Malyarenko","Dmytro Pavlenko, Milena Nechay, Mari Melnichenko, Olesya Zrezartseva, Sofiya Bak, ",Performance,"This is performance with tea ceremony and sound healing. Two rooms:1 is small shop with empty shelves from our USSR childhood. Greeter serves black tea and talks to guests. After he let guests in to main lounge, that hides behind hidden door. There’s geishas, tea ceremon and sound healing ",,3/27/2027 8:00pm,3:00,Contacted,,Temporary 2026,NO,,
SKY WHITE TIGER : PSYCHIC BRIDES,SKY WHITE TIGER,"CLARA ALONSO, MASHA D'AYANS",Music,"An original hour-long psych pop SKY WHITE TIGER concert featuring original songs, electro/acoustic soundscapes, and layered vocal tapestries, accompanied by movement and whisper wisdom from Sky Psychic Brides. (THE OPERA HOUSE or THE SUB CLUB ) ",,,1:00,Contacted,,Temporary 2026,NO,,
THE HEATHEN TEMPLE: SANCTUARY (featuring DIA LUNA),DIA LUNA,"Andrea Diaz, Dani Gros, Jonathan Bareford",Venue,The angel birds of Bombay Beach are calling you. Are you ready to fly the highest highs and dive the deepest depths of your human experience? Find sanctuary at the HEATHEN TEMPLE with music alchemists DIA LUNA. We welcome your holy wholeness! Shred your sins and sing your prayers!,,3/28/2026 9:30pm,1:00,Contacted,,,NO,,
Community Patchwork/Quilting Bee of the Damned,Am/だ,,Facilitated Experience,"Together we steward cast-aside fibers and create a Biennale tapestry. Sew in community, and merge tattered scraps into something new. Unlike the gods who would condemn and abandon the world they created, we explore the latent potential in each textile. ",No Shoes + Dry West — Moonscapes,,1:00,Contacted,https://maps.app.goo.gl/k1PNCbR5x6UJxbye9?g_st=ic,Temporary 2026,NO,33.3491097,-115.7268356
Live painting performances with musicians and DJs on stages. Workshops. ,"Gamayuna,Ekaterina Abramova (artist Gamayuna) ",,Performance,"A live painting performance where music, myth, and ancient symbols converge. Gamayuna channels archetypal imagery in real time, transforming sound into vision and the stage into a ritual space. Each work invites the audience into remembrance.",,,2:30,Contacted,,,NO,,
Body Dysturbia,Joseph Elwell,,Installation/Immersive Environment ,An AR piece that allows you to hear body stories while inhabiting the nude body of the storyteller.,,,,In conversation,,Temporary 2026,,,
Respite Tea House ,Megan Kinney,"Brooke Burgstahler, Felis La Fleur, Benja, Euphemia",Installation/Immersive Environment ,"Judgment has been indefinitely postponed due to tea service. Enter a white-gloved waiting room between Heaven and Hell, where bells summon poems, rituals unfold quietly, and sanctuary replaces spectacle. Rest here before the gavel falls. Let it Steep. ",The Tradewinds,3/28/2026 6:00pm,6:00,In conversation,,"Temporary 2026,Permanent",,,
Tiny House of Soft Displacement,"""Mona Shahab, Desdemona Dallas""","Mona Shahab, Desdemona Dallas",Film,"The Tiny House of Soft Displacement imagines a home away from home—a third-culture dream space where delusion & nostalgia coexist. This interactive installation, a playful companion to the Ballad of Boobi Jean short film, invites viewers into an intimate, surreal interior shaped by memory & longing.",,3/27/2026 6:00pm,23:50,In conversation,,Temporary 2026,,,
Silver Tongued Devil: A Speaker-Creature,"M. G. Espar with Frenchie,Mike Espar (aka M. G. Espar)",Mike Espar and Kristen French,Installation/Immersive Environment ,The Silver Tongued Devil: A Speaker-Creature is an interactive sound sculpture constructed out of broken music equipment collected by a recently-deceased San Diego musician. Visit the Creature to hear angels plummeting into the Underworld—and to receive your own flattering fortune!,,3/27/2026 7:30pm,0:10,In conversation,,Temporary 2026,,,
Ambient Atlas,chimaksou,,Music,"Ambient Atlas is a traveling sound project created by Alan Kahler (chimaksou). He brings his 4-string electric bass and a table-top full of loopers, delays, reverbs, and effects to far out lands to explore the nature of time with what he calls, live and improvised site-specific sonic sculptures. ",Zig Zag Plaza,,1:30,In conversation,,,,,
Ann-Marie Lindblad Performs!,Ann-Marie Lindblad,,Music,"Live music. Interruptions. Clown. 
Joy gets thrown away. The desert listens.",Zig Zag Plaza,,0:30,In conversation,,,,,
Slop-Nine,"Warrick Macmillan,Warrick Macmillan",,Object ,"Slop-nine has crystalized. A enneaptych (9-ptych) depicting our world's unstable suspension between genesis and extinction, impression and sensation, belief and reality, heaven and hell. 

I offer fragments of a personal journey collaged as an ever-incomplete altarpiece resisting drowning in slop.",,,,In conversation,,Temporary 2026,,,
Anxious Attachment - A short play,Cameron Gregg,Producer/Director: Cameron Gregg - Playwright: Douglas Clarke - Co-Producer: Kirby,Performance,What would you do if providence found its way into your life after years of struggle. What if the people in your life finally contained traits that matched your ideals. What if one day you discovered that all your dreams were set to come true as you're surrounded by those near and dear to you? ,Zig Zag Plaza,,0:30,In conversation,,Temporary 2026,,,
Virginia's Archive,"Xochitl O,Xochitl Ortiz",,Object ,An archival family history and collection of images found in my great grandmothers belongings showcasing life as recent Mexican migrants settled in the Coachella Valley in the 1940's and 50s.  ,,,,In conversation,,Temporary 2026,,,
Prepared Tape Loops,Adrianna Krikl,,Music,"A live musical performance using prepared cassette tape loops of various lengths as source material. Old Walkmans and effect pedal chains build layered, melodic sound in real time. The loops drift in and out of sync as hiss and gentle warble become part of the music.",Zig Zag Plaza,,0:30,In conversation,,Temporary 2026,NO,,
Ashes and Breath: A Rite of Impermanence,Dragon Wu,"Dimo Zhang, Toria Kahni, Elijah Badua, Ymani, Moodswing, CeShi, Zhao Zhang, Kyle",Music,"Here, judgement is felt, not delivered.
A sonic ritual using throat singing, ethnic instruments, fire dance, sub-bass and electronic interaction. Rooted in the ancient, oriented toward the future, the performance moves through rupture and collapse, exposing the impermanent nature of mind and matter.",Zig Zag Plaza,,1:00,In conversation,,Temporary 2026,NO,,
Opartcalypse,Russell Dammers,,Installation/Immersive Environment ,Perception bending Psychedelic op art geometric wormhole ,,,,In conversation,,Permanent,NO,,
a semisensualconductor,"gandala,Gandala Lee",,Lecture/Talk,"As Moore's Law stopped being true in the 2020s and the US is making advanced AI chips again, a semisensualconductor explores a more organic, sensory pie experience of the latest innovations in making atomic sized transistors that power the AI race. What does it mean for a human to eat a transistor? ",No Shoes + Dry West — Moonscapes,,20:00,In conversation,https://maps.app.goo.gl/k1PNCbR5x6UJxbye9?g_st=ic,Temporary 2026,NO,33.3491097,-115.7268356
Bacterial Beats,Scott (Seamus) Kildall,,Music,"Last year, I collected microbial samples from the Salton Sea at Bombay Beach. They produce significant electrical signals, like small batteries that vary with sunlight.

This will be a performance where I map these into musical notes with 16 different sample jars and LEDs on each.",Zig Zag Plaza,3/28/2026 7:00pm,0:30,In conversation,,Temporary 2026,NO,,
‘All In’ at the End of the World,The Jolly Productions ,FrickFrackBlackJack ,Facilitated Experience,"At the edge of the Salton Sea, Frick Frack Blackjack rises from the ruins of Bombay Beach. No cash. No limits. Wager a secret, a relic, a dare. In a town shaped by decay, we gamble with meaning and where risk becomes ritual and luck is whatever you’re brave enough to bet.",,,10:00,In conversation,,,NO,,
The First Supper,"Salina Moore,Salina Moore",,Installation/Immersive Environment ,"After the last judgment has fallen, the table remains. A banquet rises from the dust: luminous and alive. Moss drapes its surface. Golden apples glimmer. The table requests your presence and your participation. The ritual of renewal asks: Who judges? Who redeems? And can we recreate Eden, together?",,,,In conversation,,"Permanent,Temporary 2026",BBI,,
Grotto Heaven,"Lauren Kim,Lauren Kim",,Installation/Immersive Environment ,"Grotto Heaven awaits: float amongst lush mountains, wander through the clouds, see salt that sparkles and herbs that whisper. Recline and breathe in this Daoist-inspired pocket paradise—perhaps heaven is closer than we think.",,,,IDK,,Temporary 2026,,,
The Magic Mailbox,David Seal,,Installation/Immersive Environment ,"You stumble across a glowing, mysterious mailbox. It beckons you closer—you can’t resist. The moment you open the door, a dazzling kaleidoscope of swirling lights bursts to life. For a breathless instant, you’re no longer here. You’ve slipped into another dimension.",,,,IDK,,Temporary 2026,NO,,
Magic Carpet Ride,Melanie Pincus,"Melanie Pincus, Noah Barr, Rohit Korrapolu, Massimo Bardetti",Object ,"A 6-minute blindfolded journey on a magic carpet. EEG captures how your nervous system responds to surrender, rhythm, mystery, being seen — and translates it into four glyphs sealed in wax. Your frequency fingerprint. The quest: find the others on your wavelength.",,,0:20,IDK,,Temporary 2026,NO,,
An information-theoretic recapitulation of God in the form of a public figure,Leo Christov-Moore,,Installation/Immersive Environment ,"a public figure : from the conditions of embodiment -vulnerability, mortality, open, endedness, we get intrinsic Drives to maximize complexity on multiple scales, advocating for an epistemic/homeostatic value in cultivating trust on infinite spacetimehorizons, towards the empowerment of all things.",,,,IDK,,Permanent,NO,,
A Piece of Hell's Kitchen: The Family Fridge,The Anti-Bootlicking Coalition (ABC),,Installation/Immersive Environment ,"The Anti-Bootlicking Coalition has been granted access to display an intimate item belonging to Satan himself— his family's refrigerator! It's on-loan for the weekend, from the folks downstairs. All are invited to take a peek into Satan’s private life through the lens of this everyday appliance.",,,,IDK,,Permanent,FUCK YES,,
SHRiNKRAY,Zach Brosi,Zach Brosi / Eric Sigler / Hunter Avery,Music,"SHRiNKRAY breaks conventional norms of typical musical performances by creating dynamic audio visual experiences. We strive to create a collective mind among our audience, sweeping crowds away into complete presence.",,,0:50,Not participating,,,,,
Queen Marth,"Zelda Angelone,Zelda Angelone",,Object ,"The sculpture is Queen Martha, Martha is a mermaid, octopus, with a cow skull head with
horns and a moon crown tentacles beckoning the sea to return to her, the
tentacle coming out of the shore in the distance almost reaching back to her. Finished with a cement/fiberglass mixture ",,,,Not participating,,Permanent,,,
Not Currently Named,Shane Kali Cassilly,"Spenser Little, Kathia Ruda, Colin Hornett",Installation/Immersive Environment ,A look into the power structures in place to control and contain women. ,,3/27/2026 6:30pm,23:50,Not participating,,Permanent,,,
SAND CASTLE,"Reine Paradis,Reine Paradis",,Installation/Immersive Environment ,"the sculpture SAND CASTLE is designed to be anchored in the water. 
It consists of 3 different layered metal structures that represent the walls of a sand castle.
Size can be determined depending on where it would be installed.
The entire sculpture is painted with fluorescent paint.",,,,Not participating,,Permanent,,,
Answer the Call ,Rasza,Milena Imhof and Bhushan Thakkar ,Installation/Immersive Environment ,"
Will you...
Answer the Call?",Bombay Beach Bliss Beach Club,,,Not participating,,Temporary 2026,,,
The Last Judgement,Charlotte Kubiak,,Installation/Immersive Environment ,"An intimate installation within a small space, centered on a broken mirror: “Mirror, mirror on the wall; you became your mother after all.” As my mother ages, weakens, and the end draws closer, the work confronts role reversal, resentment, and forgiveness—staging a deeply personal Last Judgement.",,,,Not participating,,"Temporary 2026,Permanent",,,
An Acoustic Drum Set,Milton Ren,,Installation/Immersive Environment ,"You know what BB is missing? A full-sized acoustic drum set, permanently rooted on the beach.",,,,Not participating,,Permanent,NO,,
Data Dump,Vincent Naples,,Installation/Immersive Environment ,"When engaging with digital software services in which the consumer is the product, we consent to an exchange of personal data and precious attention for convenience and comfort. Data Dump offers the same transactional proposition, promising a luxury experience exchanged for the most intimate of data",,,,Not participating,,"Temporary 2026,Permanent",NO,,
WHAT THE BODY OWES THE FIRE,Nanticha Lutt,"Mei Visco, Bryce Peterson ",Installation/Immersive Environment ,"An ornate chapel houses Saint Kümmernis, her body sealed in cascading wax. Attendants exchange hair or blood for a candle, which must be burned immediately. Death-altar audio fills the space. Judgment occurs without gods. Time is offered. Fire collects.
",,,,Not participating,,Temporary 2026,NO,,
RECEDING SALTON REVELATION,Candace H Youngberg,CANDACE YOUNGBERG,Installation/Immersive Environment ,A REVELATION TO MOST THAT THE RECEDING SHORELINE OF THE SALTON SEA ISNT A SLOW ONE BUT ONE THAT IS HAPPENING FAST AND IF NOTHING HAPPENS TO ADDRESS AND FIX THE ISSUES WE ARE ALL SCREWED AND WE LOSE THE ONE MAGICAL THING THAT BRINGS US ALL TOGETHER,,,,Not participating,,Permanent,NO,,
LUNA Raccoon Guardian: A Living Monument to Memory,"Zayne Amason,Zayne Amason",Tarcila Neves,Installation/Immersive Environment ,"LUNA is a glowing raccoon robot that roams Bombay Beach to listen. She is a witness, not a performer. Powered by local AI, she remembers every story shared with her. LUNA remains after the festival as permanent infrastructure—a living monument that grows smarter and deeper with every conversation.",,,,Not participating,,Permanent,NO,,
Duplicity and Divinity,Alex Pahl Skinner,,Facilitated Experience,You can never tell who the saints and sinners walking amongst us are. I do not aim to make it obvious with my wandering art. Maybe more to show it will actually never be clear. Inner demons and deities are a part of us all.  ,,,,Not participating,,Temporary 2026,NO,,
The Poetry Brothel,The Poetry Brothel,"Sarina Moretti, Artists TBA depending on grant budget",Performance,"Darling, 

The Madam requests your presence to play in the ephemeral delights of our shared devotion to life itself. Enter, The Poetry Brothel, a realm of intimate encounters where you just may catch a startling glimpse of your true nature.

In Endless Adoration,
The Madam",,,3:30,Not participating,,Temporary 2026,NO,,
Galactic Candy Cane Dance,"Kevin Patel,Kevin Patel",,Object ,"Light up metal stripper pole.
Fuck Yeah!",,,,Not participating,,Temporary 2026,NO,,
The Karass Carcass,Tyler Dean Larson,"Primordial Furniture: Tyler Dean Larson, Oscar Sharp, Ken Huffman",Object ,"A charred concrete monolith rises from Salton’s shore – an exponential staircase piercing the horizon. As each step doubles in height, their populations – toys from the stages of history and childhood – shrink in stature and surge in number.  Above them waits a rocket. A digital clock counts down.",,3/27/2026 8:00pm,1:00,Not participating,,Permanent,NO,,
Sound Tree,"Thomas Huber,Thomas Huber",,Installation/Immersive Environment ,This is a monumental musical instrument.  The design is iconic and will last through time. Its configuration appears light and delicate.    The design is to be physically interacted with to make it ring.  Yet visually it’s amazing in its own form. ,,,,Not participating,,Permanent,NO,,
Bomb Boat Bay,Czar Tide,people in town and two martians shant and lyosha said they will help and Kevin said DO IT!,Installation/Immersive Environment ,Come paddle out from the regenerative kayak boat bay by the cahuilla sea. Made of recycled sustainable materials. Accessible near the Bombay Beach dock. Built for all who seek to enjoy sitting on the sea in peace. ,,3/29/2026 5:30am,1:00,Not participating,,Permanent,NO,,
Anthropogenesis,Ira Birch,,Installation/Immersive Environment ,Anthropogenesis is a surreal sculpture containing a dendrochronological record of anthropogenic transformation of the Salton Sea. The installation symbolizes the inception of transgression and our subsequent expulsion from paradise. ,,,,Not participating,,"Temporary 2026,Permanent",NO,,
The Last Judge,Alicia Ard,,Installation/Immersive Environment ,"A 6.5-foot freestanding mosaic mirror installation that fractures and reassembles the viewer’s reflection. Set against the desert landscape, The Last Judge transforms the idea of judgment into an intimate confrontation with the self — unstable, multiplied, and quietly revealing.",,,,Not participating,,Permanent,NO,,
Xenolex Vision Garden,Jensen Abler,,Installation/Immersive Environment ,Educational Posters written in alien script.,,,,Not participating,,Temporary 2026,NO,,
Porous,k0j0,k0j0 (Koi Ren & Joey Verbeke),Installation/Immersive Environment ,"Porous subliminally injects earworms with “morally correct” lyrics into the participants of BBB. Subtly perverted everyday objects will be distributed across the city. When the sound around it is loud enough, each device plays a song just below perception. We’ll all be singing the same unknown song.",,,,Not participating,,Temporary 2026,NO,,
L oo K,GReg Olson,,Object ,"LooK is a large-scale steel installation addressing cyclist safety and shared road awareness.  A white bicycle forms the double “o,” chained to a telephone pole in the visual language of Ghost Bikes.  Flowers transform it into a living memorial urging drivers and cyclists alike to truly look.",,,,Not participating,,Temporary 2026,NO,,
The Human Cactus Memorial,GReg Olson,,Object ,"The Human Cactus Memorial is an 8' human-scale saguaro formed from interwoven bicycle locks, arms raised in surrender and hope. Created for the Bombay Beach Biennale, it honors my son and embodies endurance in harsh landscapes. Native plantings transform it into a living, growing desert memorial.",,,,Not participating,,Temporary 2026,NO,,
The Self-Witnessing Structures (SAS),Ann-Marie Lindblad,,Installation/Immersive Environment ,"The Self-Attunement Structures (SAS) is a seven-part ritual disguised as play: a journey through the body as home. Drawing from somatics, yoga, performance, and myth. A DIY self-encounter. Part playground, part confessional. Where participants feel first, think later, and become their own witness.",,3/13/2026 11:00am,1:20,Not participating,,Permanent,NO,,
Sea Angels,Enoch Ma,,Installation/Immersive Environment ,"An angelic archway rises from the Salton Sea, thickened into wing-like forms and encrusted in barnacles. Walk beneath a gate grown from fallen life, where the accidental descent of sealife mirrors angels’ fall.",,,,Not participating,,Permanent,NO,,
The X-Zoetrope Turbine,Beau Casey,"Velvate Brale, Snow Leopard, Gold Museum, DJ Cypod, VJ Colours",Installation/Immersive Environment ,"The X-Zoetrope is a PVC H-Rotor turbine merging kinetic engineering with early animation. Driven by wind or guests, its slats create a shutter effect, while Pi-controlled LEDs provide stroboscopic light. This hybrid transforms the ""X"" theme into a glowing, desert-activated communal ritual.",,,,Not participating,,Temporary 2026,NO,,
A CROSS TO BEAR,Joe Cole,,Performance,"I’m building a cross out of railroad ties and will do a live art show around it involving paint. Later, I would like to install it somewhere, possibly on the beach. Inspired in part by my Catholic upbringing, the state of the world, and my professional and artistic goals.",,,6:00,Not participating,,Temporary 2026,NO,,
R1elic,Francis Aguillard,,Installation/Immersive Environment ,"R1elic asks whether the single family home and the associated R1 zoning apparatus that supports it is either 1) an object of sacred reverence, 2) an artifact that can now be appreciated from a distance, or 3) something we need to abolish entirely to achieve urban absolution? ",,,,Not participating,,Permanent,NO,,
Stampede,"Vivian Lu,Vivian",Elisa Lupin-Jimenez,Installation/Immersive Environment ,A silent migration appears beside the Salton Sea: extinct animals breathing dim light beneath torn translucent skins. The desert hums with a distant tremor as a ghostly path unfolds — and those who follow begin to recognize their place within the same procession.,,,,Not participating,,"Temporary 2026,Permanent",NO,,
CHIRON TREE: A 12-POINT GRID INSTALLATION,Shant Siyahian,,Installation/Immersive Environment ,"A star tetrahedron beacon and central platform rises as a center point, anchoring a 12-point Grid installation. Each point has symbolic correspondences described on plaque and in construction. Swiveling meditation seats at each point allow visitors to meditate and participate with central beacon.",,,,Not participating,,Permanent,NO,,
Life in the Balance - the Scales of Justice,Jude Greenburgh,TBD,Installation/Immersive Environment ,The Anubis scales of Justice. I feel this biennale needs a call for accountability and justice in a world robbed of it. Lets weigh our human heart against a feather to see if we justify entry to the underworld. Our life hangs in the balance.,,,,Not participating,,Permanent,NO,,
The Ward’s Echo,"Peiyuan Zhang,Peiyuan Zhang",Tarcila Neves,Installation/Immersive Environment ,"A spatial AR experience overlaying the architecture of a psychiatric ward onto Bombay Beach. Using the story of a ""schizophrenic poet,"" visitors navigate a landscape where desert ruins meet clinical memories. It is a walk through the boundaries of confinement, perception, and poetic liberation.",,,,Not participating,,Permanent,NO,,
Echo Chamber,"""Earl Scioneaux, III""",,Installation/Immersive Environment ,"We sometimes get lost in our own echos, narrowing our perspective of the wide world around us. ",,,,Not participating,,Temporary 2026,NO,,
The Final Weighing ,Corey Smith,,Installation/Immersive Environment ,"The Final Weighing preserves a stranded shoreline of driftwood, barnacles, and debris in illuminated resin arches facing the Salton Sea sunset. Installed as a temporary desert chapel, it confronts viewers with what remains after retreat — a reckoning not of souls, but of matter left behind.",,,,Not participating,,Permanent,NO,,
Mural Painting Experience,"Kalee Bly Choiniere,Kalee Bly Choiniere",,Installation/Immersive Environment ,"Creating meditative moments of connection to self and others through paint, bright colors, and patterns that feel like a hug for your brain. ",,,,Not participating,,Permanent,NO,,
About To Pop Off In Ways You Can’t Even Imagine,Joe Cole,MACEPs (Mz Aqua's Community Enrichment Projects team),Venue,"We’re gearing up for year 2 at the POP lot. We plan to have a variety of art installations, live performances, talks, workshops, etc. We are seeking funding to help facilitate transportation and some small miscellaneous costs.",,,,Not participating,,,NO,,
Neptune,Kirby,,Performance,Transformation story of a Bombay Beach Beater GLOW UP into a vibey Biennale spot raising funds for showing artists. ,,3/29/2026 11:00am,1:00,Not participating,,Temporary 2026,NO,,
THE FOUR HORSES OF THE APOCALYPSE,Joe Cole,,Object ,"I’m going to build 4 horsefly traps (each the size of a small horse), and place them at roughly 4 equidistant points at the outskirts of town (e.g. on property near the corners). These will be functional art pieces, with the top half designed to attract and kill horseflies, and CNC-cut horse legs.",,,,Not participating,,Permanent,NO,,
Bad Urchin’s Speakeasy Hideout - Geodetic Dome Project,Jonathan “Bad Urchin” Kekahuna,Aloha Co-Op,Installation/Immersive Environment ,"Aye! Avast! You have found Bad Urchin’s Geodesic Hideout. Climb up into the crows nest and take a load off, or sit in our shade and talk story. If luck finds you around sunset the roaming speakeasy may show, and if it does you could find yourself with ice cream or mocktail in hand shortly. Aloha!",,,,Not participating,,Permanent,NO,,
Out of Body Expo,Freak Nature Puppets,"Deedee Anderson, Bobby Bergin, Aubrielle Hvolboll, Siena Jeakle, Matthew Sater, Mori Wexler",Performance,"Freak Nature’s giant puppet immersive theater have time again narrowly avoided achieving world peace. Enter Out of Body Expo, a world of DIY puppetry and reality-bending experimentation. Buckle up and lock in 4 a live-scored performexperience that lies just beyond what our flesh brains can imagine. ",,,0:40,Not participating,,Temporary 2026,NO,,
We Shall Have the Eyes to See,Renata Chebel,,Installation/Immersive Environment ,"Inside the Poetry House, we gather to listen to a song, write and imagine a different Last Judgement. Community-written poetic fragments are transformed into large textile flags - colored, print and hand-embroidered - declaring the possibility of hope and renewal.
",,,,Not participating,,Temporary 2026,NO,,
